model,model_dir,mean_squared_error,pearson,r2_score,spearman
Voting Ensemble - DL+LGBM+XGBoost+RF (expr (DGI) + drugs (ECFP4)),,2212.3120070602904,0.7221017963287318,0.4944363164971569,0.622573717038555
Voting Ensemble - DL+LGBM (expr (DGI) + drugs (ECFP4)),,1963.2341275676647,0.7460456052946498,0.5513562852147237,0.6425326435648623
Voting Ensemble - Top 3 DL models+LGBM+XGBoost+RF,,1913.9632476724066,0.7602320413982955,0.5626158035149351,0.665438305838923
Voting Ensemble - Top 5 DL models (in terms of RMSE) +LGBM+XGBoost+RF,,1855.8396665808134,0.7661363779287811,0.5758983656767203,0.6721637288262223
Voting Ensemble - Top 10 DL models +LGBM+XGBoost+RF,,1827.9162049557135,0.7670281280864641,0.5822795126714855,0.6717024752248725
